Year,Type,Product group,Producer,Code,Volume,Cost per unit,Price per unit,Revenues,Total Cost,Profit Percent,Summary Profits
2018,Convenience stores,Meat,J&F,|13/12/38|,420,6.0,8.4,"$3,542.00","$2,528.40",29,Good Profit
2018,Convenience stores,Meat,J&F,|13/13/98|,480,6.1,7.4,"$3,558.40","$2,947.20",17,Acceptable Profit
2018,Convenience stores,Meat,J&F,|13/13/99|,528,5.4,7.6,"$4,019.84","$2,837.12",29,Good Profit
2018,Convenience stores,Coffee,J&F,|13/01/01|,4836,0.74,0.96,"$4,642.56","$3,578.64",23,Good Profit
2018,Convenience stores,Coffee,J&F,|13/01/01a|,5928,0.95,0.99,"$5,868.72","$5,631.60",4,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/01/02|,5712,0.89,0.97,"$5,540.64","$5,083.68",8,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/01/03|,4872,0.62,0.9,"$4,384.80","$3,020.64",31,Good Profit
2018,Convenience stores,Coffee,J&F,|13/01/04|,6228,0.65,1.07,"$6,663.96","$4,048.20",39,Good Profit
2018,Convenience stores,Coffee,J&F,|13/01/05|,9588,0.92,1.01,"$9,683.88","$8,820.96",9,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/01/06|,7836,1.19,0.96,"$7,522.56","$9,324.84",-24,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/01/07|,7560,1.02,1.09,"$8,240.40","$7,711.20",6,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/01/30|,8556,0.99,1.1,"$9,411.60","$8,470.44",10,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/11/01|,9024,0.51,1.15,"$10,377.60","$4,602.24",56,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/11/01a|,7260,1.04,0.98,"$7,114.80","$7,550.40",-6,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/11/02|,9456,0.85,1.17,"$11,063.52","$8,037.60",27,Good Profit
2018,Convenience stores,Coffee,J&F,|13/11/03|,7488,1.19,0.91,"$6,814.08","$8,910.72",-31,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/11/04|,7176,0.56,1.13,"$8,108.88","$4,018.56",50,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/01|,7140,0.72,0.91,"$6,497.40","$5,140.80",21,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/02|,6996,1.2,0.94,"$6,576.24","$8,395.20",-28,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/03|,4836,1.18,0.96,"$4,642.56","$5,706.48",-23,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/04|,8868,0.5,1.01,"$8,956.68","$4,434.00",50,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/05|,5424,0.82,1.11,"$6,020.64","$4,447.68",26,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/06|,6864,0.86,0.95,"$6,520.80","$5,903.04",9,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/07|,8784,1.05,0.99,"$8,696.16","$9,223.20",-6,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/08|,6780,0.55,1.02,"$6,915.60","$3,729.00",46,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/09|,5292,0.51,1.13,"$5,979.96","$2,698.92",55,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/10|,6768,1.12,0.94,"$6,361.92","$7,580.16",-19,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/11|,5940,0.84,1.18,"$7,009.20","$4,989.60",29,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/12|,4932,0.48,1.15,"$5,671.80","$2,367.36",58,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/13|,9084,0.44,0.9,"$8,175.60","$3,996.96",51,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/14|,5580,0.63,1,"$5,580.00","$3,515.40",37,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/15|,5460,0.71,0.95,"$5,187.00","$3,876.60",25,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/16|,6480,0.53,1.14,"$7,387.20","$3,434.40",54,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/17|,6660,0.74,1.08,"$7,192.80","$4,928.40",31,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/18|,7332,0.78,1.2,"$8,798.40","$5,718.96",35,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/19|,6480,0.68,1.07,"$6,933.60","$4,406.40",36,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/20|,7908,0.46,0.99,"$7,828.92","$3,637.68",54,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/21|,9348,0.5,0.98,"$9,161.04","$4,674.00",49,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/22|,4992,0.64,0.98,"$4,892.16","$3,194.88",35,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/23|,7956,0.88,0.94,"$7,478.64","$7,001.28",6,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/24|,6348,0.56,1.16,"$7,363.68","$3,554.88",52,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/25|,6456,0.67,1.19,"$7,682.64","$4,325.52",44,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/26|,9288,1.17,1.12,"$10,402.56","$10,866.96",-4,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/27|,5352,0.51,1.2,"$6,422.40","$2,729.52",58,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/28|,4836,0.77,1,"$4,836.00","$3,723.72",23,Good Profit
2018,Convenience stores,Coffee,J&F,|13/12/29|,9384,1.05,1.13,"$10,603.92","$9,853.20",7,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/30|,9264,1.13,0.99,"$9,171.36","$10,468.32",-14,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/31|,9204,1.02,1.11,"$10,216.44","$9,388.08",8,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/32|,6396,0.44,1.05,"$6,715.80","$2,814.24",58,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/33|,6396,0.59,1.09,"$6,971.64","$3,773.64",46,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/34|,7116,0.42,1.12,"$7,969.92","$2,988.72",63,Excellent Profits
2018,Convenience stores,Coffee,J&F,|13/12/35|,8616,0.78,0.95,"$8,185.20","$6,720.48",18,Acceptable Profit
2018,Convenience stores,Coffee,J&F,|13/12/36|,6768,0.9,1.08,"$7,309.44","$6,091.20",17,Acceptable Profit
